"id","user_id","site_id","access_granted_since","access_granted_till"
"9c9eee7c-0afb-424b-af9a-2b3f559e32d0","d900b685-05d9-4e5b-9218-5d2d4732357f","03394a90-d26f-4dc4-85cf-7978b2a190fa","2020-12-15 13:28:01.000000","2023-03-14 16:30:28.000000"
"b10b1ec4-8c96-4e61-b7d8-e1a7c40bb02b","d900b685-05d9-4e5b-9218-5d2d4732357f","5caf2a27-77e3-409e-90d0-3502bb974836","2020-12-15 14:09:38.000000","2023-03-14 16:55:58.000000"
"05a9d990-b163-4ad0-9dad-ecdd92784b98","d900b685-05d9-4e5b-9218-5d2d4732357f","2adbfebc-079c-4ec2-9f27-bcf07c2597c3","2020-12-16 09:23:41.000000","2023-03-14 14:53:45.000000"
"714e080c-2847-470c-971f-4daa27d15cfe","d900b685-05d9-4e5b-9218-5d2d4732357f","94af5aeb-161f-493a-9a56-82f51278f3da","2020-12-16 12:33:31.000000","2023-03-14 16:46:01.000000"
"1eb5e25c-92b3-4b8b-8b90-0d22245748c6","f9332328-9b98-437e-9602-ae2bf3cdac56","93da2780-c0a6-4fec-8c24-6a18dae02184","2020-12-15 13:20:21.000000","2023-03-14 14:54:01.000000"
"94d25fc7-9e7f-4cbd-8600-f80535a3e663","f9332328-9b98-437e-9602-ae2bf3cdac56","5caf2a27-77e3-409e-90d0-3502bb974836","2020-12-15 13:44:27.000000","2023-03-14 16:54:07.000000"
"c50b2bae-35bf-429c-8e90-62ed3e3ebcb5","f9332328-9b98-437e-9602-ae2bf3cdac56","a8cce99e-b939-49c3-98d8-7adf3610f12c","2020-12-15 14:02:52.000000","2023-03-14 13:45:09.000000"
"129d9725-a6f9-405b-bdb8-dbae963ff25f","f9332328-9b98-437e-9602-ae2bf3cdac56","94af5aeb-161f-493a-9a56-82f51278f3da","2020-12-16 10:39:38.000000","2023-03-13 18:31:40.000000"
"43fbabe5-d1ab-4ed5-b27a-26108e9a1c40","ee8a13ec-18af-49e4-8ffc-842774f8652f","a8cce99e-b939-49c3-98d8-7adf3610f12c","2020-12-15 15:22:26.000000","2023-03-14 21:39:23.000000"
"f7e78546-9a54-4204-9cd9-fc273aac9816","ee8a13ec-18af-49e4-8ffc-842774f8652f","08714b00-48a3-4279-b7b0-71ba56d5a69e","2020-12-15 15:55:54.000000","2023-03-14 22:50:17.000000"
